"harmonised_name","ihs2_name","ihs3_name","ihs4_name","ihs5_name","label","module","topic","needs_review","n_rounds"
"case_id","case_id","case_id","case_id","case_id","Unique Household Identifier","f1","survey_admin",FALSE,4
"hhid","hhid","hhid","hhid","hhid","Survey Solutions Unique HH Identifier","f1","survey_admin",FALSE,4
"hhsize","hhsize","hhsize","hhsize","hhsize","Household size","f2","demographics",FALSE,4
"plotid","plotid","plot_id","plotid","plotid","Plot ID","f36","agriculture_land",FALSE,4
"poor","poor","poor","poor","poor","Dummy for poor households below national poverty line","f103","consumption_aggregate",FALSE,4
"region","region","region","region","region","IHS5 2019 Region location","f2","survey_admin",FALSE,4
"reside","reside","reside","reside","reside","IHS5 2019 Rural Residence","f2","demographics",FALSE,4
"rexp_cat01","rexp_cat01","rexp_cat01","rexp_cat01","rexp_cat01","Food/Bev, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat011","rexp_cat011","rexp_cat011","rexp_cat011","rexp_cat011","Food, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat012","rexp_cat012","rexp_cat012","rexp_cat012","rexp_cat012","Beverage, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat02","rexp_cat02","rexp_cat02","rexp_cat02","rexp_cat02","Alc/Tobacco, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat021","rexp_cat021","rexp_cat021","rexp_cat021","rexp_cat021","Alcohol, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat022","rexp_cat022","rexp_cat022","rexp_cat022","rexp_cat022","Tobacco, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat03","rexp_cat03","rexp_cat03","rexp_cat03","rexp_cat03","Clothing/Footwear, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat031","rexp_cat031","rexp_cat031","rexp_cat031","rexp_cat031","Clothing, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat032","rexp_cat032","rexp_cat032","rexp_cat032","rexp_cat032","Footwear, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat04","rexp_cat04","rexp_cat04","rexp_cat04","rexp_cat04","Housing/Utilities, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat041","rexp_cat041","rexp_cat041","rexp_cat041","rexp_cat041","Actual rents for housing, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat042","rexp_cat042","rexp_cat042","rexp_cat042","rexp_cat042","Estimated rents for housing, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat045","rexp_cat045","rexp_cat045","rexp_cat045","rexp_cat045","Electricity, gas, other fuels, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat05","rexp_cat05","rexp_cat05","rexp_cat05","rexp_cat05","Furnishings, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat051","rexp_cat051","rexp_cat051","rexp_cat051","rexp_cat051","Decorations, carpets, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat052","rexp_cat052","rexp_cat052","rexp_cat052","rexp_cat052","Household textiles, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat053","rexp_cat053","rexp_cat053","rexp_cat053","rexp_cat053","Appliances, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat054","rexp_cat054","rexp_cat054","rexp_cat054","rexp_cat054","Dishes, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat055","rexp_cat055","rexp_cat055","rexp_cat055","rexp_cat055","Tools/equipment for home, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat056","rexp_cat056","rexp_cat056","rexp_cat056","rexp_cat056","Routine Home maintenance, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat06","rexp_cat06","rexp_cat06","rexp_cat06","rexp_cat06","Health, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat061","rexp_cat061","rexp_cat061","rexp_cat061","rexp_cat061","Health drugs, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat062","rexp_cat062","rexp_cat062","rexp_cat062","rexp_cat062","Health out-patient, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat063","rexp_cat063","rexp_cat063","rexp_cat063","rexp_cat063","Health hospitalization, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat07","rexp_cat07","rexp_cat07","rexp_cat07","rexp_cat07","Transport, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat071","rexp_cat071","rexp_cat071","rexp_cat071","rexp_cat071","Vehicles, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat072","rexp_cat072","rexp_cat072","rexp_cat072","rexp_cat072","Operation of vehicles, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat073","rexp_cat073","rexp_cat073","rexp_cat073","rexp_cat073","Transport, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat08","rexp_cat08","rexp_cat08","rexp_cat08","rexp_cat08","Communication, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat081","rexp_cat081","rexp_cat081","rexp_cat081","rexp_cat081","Postal services, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat09","rexp_cat09","rexp_cat09","rexp_cat09","rexp_cat09","Recreation, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat091","rexp_cat091","rexp_cat091","rexp_cat091","rexp_cat091","Audio-visual, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat092","rexp_cat092","rexp_cat092","rexp_cat092","rexp_cat092","Major durables for rec, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat094","rexp_cat094","rexp_cat094","rexp_cat094","rexp_cat094","Recreational services, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat095","rexp_cat095","rexp_cat095","rexp_cat095","rexp_cat095","Newspapers, books, stationery, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat10","rexp_cat10","rexp_cat10","rexp_cat10","rexp_cat10","Education, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat101","rexp_cat101","rexp_cat101","rexp_cat101","rexp_cat101","Education, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat11","rexp_cat11","rexp_cat11","rexp_cat11","rexp_cat11","Hotels and restaurants, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
"rexp_cat111","rexp_cat111","rexp_cat111","rexp_cat111","rexp_cat111","Vendors/Cafes/Restaurants, real(April 2019 price) annual consumption","f103","consumption_aggregate",FALSE,4
